"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Wykres 1.1a: Odsetek osób chorych na depresję (F32, F33, F34.1 wg ICD-10) w wybranych krajach europejskich w roku 2014 i 2019","","","","","","","","","","",""
"Wykres 1.1b: Standaryzowany wiekiem odsetek osób chorych na depresję (F32, F33, F34.1 wg ICD-10) w wybranych krajach europejskich w roku 2014 i 2019","","","","","","","","","","",""
"Wykres 1.2: Liczba osób chorych na depresję (F32, F33, F34.1 wg ICD-10) w Polsce (2000-2019) jako odsetek ludności (lewy wykres) i w wartościach bezwzględnych (prawy wykres)","","","","","","","","","","",""
"Wykres 1.3a: Odsetek osób chorych na depresję (F32, F33, F34.1 wg ICD-10) w wybranych krajach europejskich – kobiety (2019)","","","","","","","","","","",""
"Wykres 1.3b: Odsetek osób chorych na depresję (F32, F33, F34.1 wg ICD-10) w wybranych krajach europejskich – mężczyźni (2019)","","","","","","","","","","",""
"Wykres 1.4: Udział DALY (utracone lata życia z powodu choroby skorygowane niesprawnością) z powodu depresji (F32, F33, F34.1 wg ICD-10) wśród DALY z powodu wszystkich chorób w wybranych krajach europejskich (2019)","","","","","","","","","","",""
"Tabela 2.1: Struktura wieku i płci pacjentów, którym udzielono świadczenia z rozpoznaniem głównym lub współistniejącym depresji—F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 (2013–2023)","","","","","","","","","","",""
"Wykres 2.1: Liczba osób, którym udzielono świadczenia z rozpoznaniem depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10, głównym lub współistniejącym) wg grup wiekowych oraz płci (2023)","","","","","","","","","","",""
"Wykres 2.2: Odsetek osób, którym udzielono świadczenia z rozpoznaniem depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10, głównym lub współistniejącym) wg województwa zamieszkania wśród ludności województwa (2023)","","","","","","","","","","",""
"Tabela 2.2: Liczba pacjentów, którym udzielono świadczenia z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10) wg rodzajów świadczeń","","","","","","","","","","",""
"Wykres 2.3: Liczba pacjentów, którym udzielono świadczenia z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10) wg najczęstszych rodzajów świadczeń—niepełnoletni (2013–2023)","","","","","","","","","","",""
"Wykres 2.4: Liczba pacjentów, którym udzielono świadczenia z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10) wg najczęstszych rodzajów świadczeń—dorośli (2013–2023)","","","","","","","","","","",""
"Tabela 2.3: Pacjenci, którym udzielono świadczenia w podstawowej opiece zdrowotnej w związku z depresją—F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10 (2013–2023)","","","","","","","","","","",""
"Tabela 2.4: Liczba pacjentów, którym udzielono świadczenia z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10) wg form opieki (2013–2023)","","","","","","","","","","",""
"Tabela 2.5: Świadczenia udzielone w podstawowej opiece zdrowotnej w związku z depresją— F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10 (2013–2023)","","","","","","","","","","",""
"Wykres 2.5: Zmiana procentowa liczby świadczeń w POZ, SOR/IP/ZRM i świadczeń w POZ z rozpoznaniem głównym Z76 i wystawioną receptą na leki przeciwd...","","","","","","","","","","",""
"Tabela 2.6: Świadczenia udzielone  z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10) wg form opieki (2013–2023)","","","","","","","","","","",""
"Wykres 2.6: Zmiana procentowa liczby świadczeń w poradniach psychiatrycznych oraz osobodni na psychiatrycznych oddziałach szpitalnych, oddziałach d...","","","","","","","","","","",""
"Tabela 2.7: Świadczenia udzielone z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10) w poradniach psychiatrycznych (2013–2023)","","","","","","","","","","",""
"Tabela 2.8: Struktura porad lekarskich udzielonych w poradniach psychiatrycznych z rozpoznaniem głównym depresji—F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10 (2013–2023)","","","","","","","","","","",""
"Tabela 2.9: Odsetek pacjentów korzystających z rozpoznaniem głównym (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10) z poszczególnych form leczenia (2013–2023)","","","","","","","","","","",""
"Wykres 2.7: Liczba i udział pacjentów, którym udzielono świadczenie w POZ, opiece psychiatrycznej i leczeniu uzależnień lub pilotażu CZP z rozpoznaniem głównym depresji—F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10 (2023)","","","","","","","","","","",""
"Wykres 2.8: Kombinacje korzystania z form opieki w latach 2013–2023 przez pacjentów, którym w 2023 r. udzielono świadczenia z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10)","","","","","","","","","","",""
"Tabela 2.10: Wartość refundacji świadczeń udzielonych z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10, rozpoznanie główne) wg form opieki (2013–2023)","","","","","","","","","","",""
