IndicatorCode;Indicator;ValueType;ParentLocationCode;ParentLocation;Location type;SpatialDimValueCode;Location;Period type;Period;IsLatestYear;Dim1 type;Dim1;Dim1ValueCode;Dim2 type;Dim2;Dim2ValueCode;Dim3 type;Dim3;Dim3ValueCode;DataSourceDimValueCode;DataSource;FactValueNumericPrefix;FactValueNumeric;FactValueUoM;FactValueNumericLowPrefix;FactValueNumericLow;FactValueNumericHighPrefix;FactValueNumericHigh;Value;FactValueTranslationID;FactComments;Language;DateModified
"NCD_BMI_30A,""Prevalence of obesity among adults, BMI &GreaterEqual";" 30 (age-standardized estimate) (%)""";numeric;AFR;Africa;Country;ETH;Ethiopia;Year;2021;false;Sex;Male;SEX_MLE;Age Group;18+  years;AGEGROUP_YEARS18-PLUS;;;;;;;0.98;;;0.59;;sty.51;1.0 [0.6-1.5];;;EN;2024-02-28T23:00:00.000Z
"NCD_BMI_30A,""Prevalence of obesity among adults, BMI &GreaterEqual";" 30 (age-standardized estimate) (%)""";numeric;SEAR;South-East Asia;Country;TLS;Timor-Leste;Year;2021;false;Sex;Male;SEX_MLE;Age Group;18+  years;AGEGROUP_YEARS18-PLUS;;;;;;;sty.45;;;0.85;;lut.27;1.4 [0.8-2.3];;;EN;2024-02-28T23:00:00.000Z
"NCD_BMI_30A,""Prevalence of obesity among adults, BMI &GreaterEqual";" 30 (age-standardized estimate) (%)""";numeric;AFR;Africa;Country;RWA;Rwanda;Year;2021;false;Sex;Male;SEX_MLE;Age Group;18+  years;AGEGROUP_YEARS18-PLUS;;;;;;;sty.61;;;01.wrz;;lut.28;1.6 [1.1-2.3];;;EN;2024-02-28T23:00:00.000Z
"NCD_BMI_30A,""Prevalence of obesity among adults, BMI &GreaterEqual";" 30 (age-standardized estimate) (%)""";numeric;WPR;Western Pacific;Country;VNM;Vietnam;Year;2021;false;Sex;Male;SEX_MLE;Age Group;18+  years;AGEGROUP_YEARS18-PLUS;;;;;;;sty.76;;;sty.19;;lut.46;1.8 [1.2-2.5];;;EN;2024-02-28T23:00:00.000Z
"NCD_BMI_30A,""Prevalence of obesity among adults, BMI &GreaterEqual";" 30 (age-standardized estimate) (%)""";numeric;WPR;Western Pacific;Country;VNM;Vietnam;Year;2021;false;Sex;Female;SEX_FMLE;Age Group;18+  years;AGEGROUP_YEARS18-PLUS;;;;;;;sty.87;;;sty.33;;lut.55;1.9 [1.3-2.5];;;EN;2024-02-28T23:00:00.000Z
"NCD_BMI_30A,""Prevalence of obesity among adults, BMI &GreaterEqual";" 30 (age-standardized estimate) (%)""";numeric;EUR;Europe;Country;FRA;France;Year;2021;false;Sex;Male;SEX_MLE;Age Group;18+  years;AGEGROUP_YEARS18-PLUS;;;;;;;wrz.99;;;sie.44;;lis.62;10.0 [8.4-11.6];;;EN;2024-02-28T23:00:00.000Z
"NCD_BMI_30A,""Prevalence of obesity among adults, BMI &GreaterEqual";" 30 (age-standardized estimate) (%)""";numeric;AFR;Africa;Country;GAB;Gabon;Year;2021;false;Sex;Male;SEX_MLE;Age Group;18+  years;AGEGROUP_YEARS18-PLUS;;;;;;;10.cze;;;maj.77;;16.87;10.6 [5.8-16.9];;;EN;2024-02-28T23:00:00.000Z
"NCD_BMI_30A,""Prevalence of obesity among adults, BMI &GreaterEqual";" 30 (age-standardized estimate) (%)""";numeric;EMR;Eastern Mediterranean;Country;SDN;Sudan;Year;2021;false;Sex;Male;SEX_MLE;Age Group;18+  years;AGEGROUP_YEARS18-PLUS;;;;;;;paü.61;;;lip.69;;14.gru;10.6 [7.7-14.1];;;EN;2024-02-28T23:00:00.000Z
"NCD_BMI_30A,""Prevalence of obesity among adults, BMI &GreaterEqual";" 30 (age-standardized estimate) (%)""";numeric;AFR;Africa;Country;UGA;Uganda;Year;2021;false;Sex;Female;SEX_FMLE;Age Group;18+  years;AGEGROUP_YEARS18-PLUS;;;;;;;paü.72;;;wrz.13;;gru.49;10.7 [9.1-12.5];;;EN;2024-02-28T23:00:00.000Z
"NCD_BMI_30A,""Prevalence of obesity among adults, BMI &GreaterEqual";" 30 (age-standardized estimate) (%)""";numeric;WPR;Western Pacific;Country;SGP;Singapore;Year;2021;false;Sex;Female;SEX_FMLE;Age Group;18+  years;AGEGROUP_YEARS18-PLUS;;;;;;;11.maj;;;sie.39;;14.16;11.1 [8.4-14.2];;;EN;2024-02-28T23:00:00.000Z
