"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration"
58,"management","married","tertiary","no",2143,"yes","no","unknown",5,"may",261
44,"technician","single","secondary","no",29,"yes","no","unknown",5,"may",151
33,"entrepreneur","married","secondary","no",2,"yes","yes","unknown",5,"may",76
47,"blue-collar","married","unknown","no",1506,"yes","no","unknown",5,"may",92
33,"unknown","single","unknown","no",1,"no","no","unknown",5,"may",198
35,"management","married","tertiary","no",231,"yes","no","unknown",5,"may",139
28,"management","single","tertiary","no",447,"yes","yes","unknown",5,"may",217
42,"entrepreneur","divorced","tertiary","yes",2,"yes","no","unknown",5,"may",380
58,"retired","married","primary","no",121,"yes","no","unknown",5,"may",50
43,"technician","single","secondary","no",593,"yes","no","unknown",5,"may",55
41,"admin.","divorced","secondary","no",270,"yes","no","unknown",5,"may",222
29,"admin.","single","secondary","no",390,"yes","no","unknown",5,"may",137
53,"technician","married","secondary","no",6,"yes","no","unknown",5,"may",517
58,"technician","married","unknown","no",71,"yes","no","unknown",5,"may",71
57,"services","married","secondary","no",162,"yes","no","unknown",5,"may",174
51,"retired","married","primary","no",229,"yes","no","unknown",5,"may",353
45,"admin.","single","unknown","no",13,"yes","no","unknown",5,"may",98
57,"blue-collar","married","primary","no",52,"yes","no","unknown",5,"may",38
60,"retired","married","primary","no",60,"yes","no","unknown",5,"may",219
33,"services","married","secondary","no",0,"yes","no","unknown",5,"may",54
28,"blue-collar","married","secondary","no",723,"yes","yes","unknown",5,"may",262
56,"management","married","tertiary","no",779,"yes","no","unknown",5,"may",164
32,"blue-collar","single","primary","no",23,"yes","yes","unknown",5,"may",160
25,"services","married","secondary","no",50,"yes","no","unknown",5,"may",342
40,"retired","married","primary","no",0,"yes","yes","unknown",5,"may",181
44,"admin.","married","secondary","no",-372,"yes","no","unknown",5,"may",172
39,"management","single","tertiary","no",255,"yes","no","unknown",5,"may",296
52,"entrepreneur","married","secondary","no",113,"yes","yes","unknown",5,"may",127
46,"management","single","secondary","no",-246,"yes","no","unknown",5,"may",255
36,"technician","single","secondary","no",265,"yes","yes","unknown",5,"may",348
57,"technician","married","secondary","no",839,"no","yes","unknown",5,"may",225
49,"management","married","tertiary","no",378,"yes","no","unknown",5,"may",230
60,"admin.","married","secondary","no",39,"yes","yes","unknown",5,"may",208
59,"blue-collar","married","secondary","no",0,"yes","no","unknown",5,"may",226
51,"management","married","tertiary","no",10635,"yes","no","unknown",5,"may",336
57,"technician","divorced","secondary","no",63,"yes","no","unknown",5,"may",242
25,"blue-collar","married","secondary","no",-7,"yes","no","unknown",5,"may",365
53,"technician","married","secondary","no",-3,"no","no","unknown",5,"may",1666
36,"admin.","divorced","secondary","no",506,"yes","no","unknown",5,"may",577
37,"admin.","single","secondary","no",0,"yes","no","unknown",5,"may",137
44,"services","divorced","secondary","no",2586,"yes","no","unknown",5,"may",160
50,"management","married","secondary","no",49,"yes","no","unknown",5,"may",180
60,"blue-collar","married","unknown","no",104,"yes","no","unknown",5,"may",22
54,"retired","married","secondary","no",529,"yes","no","unknown",5,"may",1492
58,"retired","married","unknown","no",96,"yes","no","unknown",5,"may",616
36,"admin.","single","primary","no",-171,"yes","no","unknown",5,"may",242
58,"self-employed","married","tertiary","no",-364,"yes","no","unknown",5,"may",355
