Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4OSBTYWVwsQhGLF9NHvIbR,"Rolling in the Deep","21","Adele",2011-01-24,228093,82,,1970-01-01T00:00:00Z,"soft pop","XL Recordings",0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
spotify:track:3di5hcvxxciiqwMH1jarhY,"Set Fire to the Rain","21","Adele",2011-01-24,242973,84,,1970-01-01T00:00:00Z,"soft pop","XL Recordings",0.603,0.67,2,-3.882,0,0.0249,0.00408,0.00000168,0.112,0.446,107.993,4
spotify:track:63SevszngYpZOwf63o61K4,"Nevermind","Nevermind","Dennis Lloyd",2017-06-30,156600,79,,1970-01-01T00:00:00Z,"","WM Italy",0.6,0.688,5,-8.339,0,0.201,0.159,0.0000129,0.409,0.0793,99.977,4
spotify:track:6VObnIkLVruX4UVyxWhlqm,"Skyfall","Skyfall","Adele",2012-10-04,286480,86,,1970-01-01T00:00:00Z,"soft pop","XL Recordings/Columbia",0.346,0.552,0,-6.864,0,0.0282,0.417,0,0.114,0.0789,75.881,4
spotify:track:1jF7IL57ayN4Ity3jQqGu0,"Try","The Truth About Love","P!nk",2012-09-18,247906,85,,1970-01-01T00:00:00Z,"","RCA Records Label",0.674,0.628,2,-7.079,1,0.03,0.00144,0,0.0944,0.552,103.998,4
spotify:track:2XU0oxnq2qxCpomAAuJY8K,"Dance Monkey","Dance Monkey (Stripped Back) / Dance Monkey","Tones And I",2019-10-17,209438,77,,1970-01-01T00:00:00Z,"","Elektra (NEK)",0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,4
spotify:track:3D5wnLaeVlCCIPzQOOAirA,"No Roots","Mint","Alice Merton",2019-01-18,237053,66,,1970-01-01T00:00:00Z,"","Paper Plane Records International",0.863,0.673,4,-6.576,0,0.1,0.258,0.00271,0.0745,0.821,115.952,4
spotify:track:6O5TrlFWTYvznd9fMC0VvU,"When We Were Young","25","Adele",2015-11-20,290900,81,,1970-01-01T00:00:00Z,"soft pop","XL Recordings",0.376,0.595,3,-5.936,1,0.0496,0.303,0,0.095,0.265,144.361,4
spotify:track:1jDJFeK9x3OZboIAHsY9k2,"I'm Still Standing","Too Low For Zero","Elton John",1983-05-30,183440,85,,1970-01-01T00:00:00Z,"","EMI",0.505,0.904,6,-6.863,1,0.179,0.355,0.118,0.14,0.773,176.811,4
spotify:track:4esOae7i4rqTbAu9o5Pxco,"Girl on Fire","Girl on Fire (Remixes) - EP","Alicia Keys",2012-11-18,224920,79,,1970-01-01T00:00:00Z,"r&b,neo soul","RCA Records Label",0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,4
spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,"everything i wanted","everything i wanted","Billie Eilish",2019-11-13,245425,86,,1970-01-01T00:00:00Z,"","Darkroom/Interscope Records",0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4
spotify:track:6DEMMeWXfmFAXgDUMMzeg6,"All I Ask","25","Adele",2015-11-20,271800,75,,1970-01-01T00:00:00Z,"soft pop","XL Recordings",0.591,0.28,4,-5.494,1,0.0283,0.889,0,0.124,0.348,141.916,4
spotify:track:1OKMum8OMO64N5ud2ZUsTk,"Marmur","Marmur","Taco Hemingway",2016-11-02,310213,0,,1970-01-01T00:00:00Z,"","Taco Corp",0.643,0.553,11,-10.025,1,0.267,0.435,0.00000741,0.501,0.317,99.655,4
spotify:track:5itOtNx0WxtJmi1TQ3RuRd,"Giant (with Rag'n'Bone Man)","Giant (with Rag'n'Bone Man)","Calvin Harris,Rag'n'Bone Man",2019-01-11,229184,70,,1970-01-01T00:00:00Z,"edm","Columbia",0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,4
spotify:track:63CSozvYUEudPp12679UVF,"Don't Worry (with Ray Dalton) - Radio Edit","Don't Worry (feat. Ray Dalton)","Madcon,Ray Dalton",2015-04-10,214789,80,,1970-01-01T00:00:00Z,"norweski rap","WM Germany",0.811,0.699,7,-5.211,1,0.114,0.0726,0.00000138,0.148,0.733,122.987,4
spotify:track:273QnyCvJB65rScHJ1nPZb,"Make You Feel My Love","19","Adele",2008-01-27,212040,77,,1970-01-01T00:00:00Z,"soft pop","XL Recordings",0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,3
spotify:track:1H5VQuShs4qfwBXyHF0PeH,"Narcotic - Radio Edit","Narcotic","Liquido",1998-07-10,236150,74,,1970-01-01T00:00:00Z,"","Liquido Music",0.617,0.607,1,-7.015,1,0.0231,0.000876,0.0701,0.0918,0.446,102.068,4
spotify:track:4xigPf2sigSPmuFH3qCelB,"Genius (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD","Sia,Diplo,Labrinth,LSD",2019-04-12,213706,77,,1970-01-01T00:00:00Z,"moombahton","Records/Columbia",0.603,0.615,11,-4.931,0,0.165,0.0799,0.0000672,0.117,0.561,158.657,4
spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Shallow","A Star Is Born Soundtrack","Lady Gaga,Bradley Cooper",2018-10-05,215733,87,,1970-01-01T00:00:00Z,"art pop,pop","A Star is Born OST",0.577,0.385,7,-6.362,1,0.03,0.371,0,0.231,0.331,95.82,4
spotify:track:3bNv3VuUOKgrf5hu3YcuRo,"Someone Like You","21","Adele",2011-01-24,285240,84,,1970-01-01T00:00:00Z,"soft pop","XL Recordings",0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187,4
spotify:track:5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental,Jess Glynne,Macklemore,Dan Caplen",2018-01-19,210772,73,,1970-01-01T00:00:00Z,"","Atlantic Records UK",0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,4
spotify:track:4bpShq8coki3AlMsXuFCDa,"W PIĄTKI LEŻĘ W WANNIE","POCZTÓWKA Z WWA, LATO '19","Taco Hemingway,Dawid Podsiadło",2019-07-24,220080,0,,1970-01-01T00:00:00Z,"","Taco Corp",0.793,0.496,0,-11.091,1,0.198,0.743,0,0.111,0.269,103.014,4
spotify:track:22vgEDb5hykfaTwLuskFGD,"Sucker","Happiness Begins","Jonas Brothers",2019-06-07,181026,81,,1970-01-01T00:00:00Z,"","Jonas Brothers Recording",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
spotify:track:1Yk0cQdMLx5RzzFTYwmuld,"Hello","25","Adele",2015-11-20,295502,77,,1970-01-01T00:00:00Z,"soft pop","XL Recordings",0.578,0.43,5,-6.134,0,0.0305,0.33,0,0.0854,0.288,78.991,4
spotify:track:2iUXsYOEPhVqEBwsqP70rE,"Youngblood","Youngblood (Deluxe)","5 Seconds of Summer",2018-06-15,203417,83,,1970-01-01T00:00:00Z,"","Capitol",0.597,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.276,4
spotify:track:1MvKqm1tHKFUF88IKx7MKs,"Europa","Europa","Taco Hemingway,Bedoes 2115,Zeppy Zep",2020-09-04,198186,0,,1970-01-01T00:00:00Z,"","2020",0.754,0.638,11,-7.382,0,0.115,0.385,0.0000144,0.0999,0.539,169.999,4
spotify:track:6h0dXgJoo5lGZFLWhxh2xc,"Where The Wild Things","Where The Wild Things","Labrinth",2019-10-31,198401,0,,1970-01-01T00:00:00Z,"","Syco Music",0.609,0.522,0,-5.569,0,0.0655,0.109,0.0000106,0.138,0.3,139.991,4
spotify:track:563SfWAHJs4FBZMkRN0IFN,"Send My Love (To Your New Lover)","25","Adele",2015-11-20,223078,76,,1970-01-01T00:00:00Z,"soft pop","XL Recordings",0.688,0.533,6,-8.363,0,0.0865,0.0355,0.00000348,0.172,0.567,164.069,4
spotify:track:1SgdUjvppHnIp6L7DZSnwc,"She Wolf (Falling to Pieces) [feat. Sia]","Nothing but the Beat (Ultimate Edition)","David Guetta,Sia",2012-12-07,222500,71,,1970-01-01T00:00:00Z,"edm,dance","Parlophone (France)",0.492,0.857,7,-2.634,1,0.0655,0.0841,0.00000782,0.344,0.393,129.973,4
spotify:track:7qEHsqek33rTcFNT9PFqLf,"Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,182160,88,,1970-01-01T00:00:00Z,"soft pop","Vertigo Berlin",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
spotify:track:4Jv7lweGIUOFQ7Oq2AtAh9,"I Follow Rivers - The Magician Remix","I Follow Rivers (The Magician Remix)","Lykke Li,The Magician",2011-10-10,280069,74,,1970-01-01T00:00:00Z,"","Atlantic Records",0.786,0.696,9,-5.796,0,0.0428,0.0234,0.0019,0.0839,0.306,121.974,4
spotify:track:5SQPvv5rrkqrJpqjBsPgUk,"Jubel - Radio Edit","Jubel - EP","Klingande",2013-04-05,198974,65,,1970-01-01T00:00:00Z,"tropical house,deep house","Klingande Music",0.698,0.534,0,-7.232,1,0.0339,0.684,0.069,0.141,0.1,124.978,4
spotify:track:4fXGWiVhlOLdhwRDP6pIFG,"Lemon Tree","Dish Of The Day","Fools Garden",1995-01-01,191026,3,,1970-01-01T00:00:00Z,"","Lemonade Music",0.663,0.475,1,-8.834,1,0.0417,0.643,0,0.122,0.644,143.175,4
spotify:track:4DVPJXPqKLIon9BHklap1w,"LECI NOWY FUTURE","POCZTÓWKA Z WWA, LATO '19","Taco Hemingway",2019-07-24,219293,0,,1970-01-01T00:00:00Z,"","Taco Corp",0.713,0.769,0,-6.613,0,0.0478,0.624,0.0000482,0.296,0.876,150.027,4
spotify:track:7eBYMVok43QesT0KnuIkjn,"BUBBLETEA","ROMANTIC PSYCHO","Quebonafide,Duit,Daria Zawiałow",2020-04-02,284000,0,,1970-01-01T00:00:00Z,"","QueQuality",0.664,0.739,9,-7.207,0,0.207,0.541,0,0.139,0.438,98.091,4
spotify:track:4YwbSZaYeYja8Umyt222Qf,"You Can't Hurry Love - 2016 Remaster","Hello, I Must Be Going! (Deluxe Edition)","Phil Collins",1982-11-05,175746,79,,1970-01-01T00:00:00Z,"soft rock","Rhino",0.62,0.936,7,-4.593,1,0.0308,0.0261,0,0.0679,0.763,97.527,4
spotify:track:3BJe4B8zGnqEdQPMvfVjuS,"Summertime Sadness","Born To Die - The Paradise Edition","Lana Del Rey",2012-01-01,265427,86,,1970-01-01T00:00:00Z,"","Polydor Records",0.565,0.654,1,-6.826,0,0.0335,0.0542,0.0000018,0.122,0.235,111.968,4
spotify:track:0vIdj6ZxZrHhHjkbsLHap8,"Polskie Tango","Jarmark","Taco Hemingway,Lanek",2020-08-28,183253,0,,1970-01-01T00:00:00Z,"","2020",0.743,0.843,9,-5.131,1,0.112,0.0991,0,0.226,0.459,98.006,4
