Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2SXx7Ofa79CeJfio98aJcG,"Eat Your Young","Unreal Unearth","Hozier",2023-08-18,243946,68,,1970-01-01T00:00:00Z,"","Columbia",0.546,0.599,7,-6.442,0,0.0286,0.35,0.0686,0.256,0.331,90,4
spotify:track:6l61EFBU45uBfwj9ueJJVM,"For the Dancing and the Dreaming","For the Dancing and the Dreaming","Erutan",2015-09-14,173901,51,,1970-01-01T00:00:00Z,"muzyka celtycka,średniowiecze","Erutan",0.372,0.0925,0,-19.509,1,0.049,0.927,0.000766,0.0535,0.144,121.878,4
spotify:track:4R2kfaDFhslZEMJqAFNpdd,"cardigan","folklore","Taylor Swift",2020-07-24,239560,86,,1970-01-01T00:00:00Z,"","Taylor Swift",0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4
spotify:track:7jPdqwZug0ovtDZsY5uK4T,"I'm Just Ken (From Barbie The Album)","I’m Just Ken (From Barbie The Album)","Ryan Gosling",2023-07-21,222633,58,,1970-01-01T00:00:00Z,"","Atlantic Records",0.352,0.628,1,-6.259,1,0.0428,0.0264,0.0000474,0.0952,0.387,140.431,4
spotify:track:7yq4Qj7cqayVTp3FF9CWbm,"Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,84,,1970-01-01T00:00:00Z,"folk-pop","F-Stop Records/Atlantic",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
spotify:track:7wHpjhpBhiabSKRPJgO2im,"Everytime We Touch","Best of Cascada","Cascada",2018-05-18,197124,49,,1970-01-01T00:00:00Z,"europop,eurodance","Central Station Records",0.634,0.976,8,-5.339,1,0.0521,0.00291,0.0000131,0.384,0.496,142.037,4
spotify:track:0vbp3qthXlRVsLXTbPrkX1,"Gladiator","Gladiator","Jann",2022-10-14,211643,67,,1970-01-01T00:00:00Z,"","FONOBO Label",0.648,0.785,8,-5.73,1,0.0922,0.173,0.00383,0.0889,0.239,146.025,4
spotify:track:6naxalmIoLFWR0siv8dnQQ,"Oops!...I Did It Again","Oops!... I Did It Again","Britney Spears",2000-05-16,211160,84,,1970-01-01T00:00:00Z,"pop","Jive",0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,89,,1970-01-01T00:00:00Z,"nowa fala,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
spotify:track:24ffbrdPfiSHK1SqvIX7DT,"Ring of Fire - Single Version","Hello I'm Johnny Cash","Johnny Cash",1970,156066,32,,1970-01-01T00:00:00Z,"country","Columbia",0.658,0.453,7,-11.493,1,0.0309,0.808,0.000171,0.356,0.658,103.544,4
