Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6fgjMZJlIACwYqC1b0yyiP,"Wish You Were Gay","Wish You Were Gay","Claud",2019-06-14,191304,0,,1970-01-01T00:00:00Z,"bedroom pop,indie pop","Claud",0.616,0.322,2,-8.997,1,0.0474,0.824,0,0.106,0.356,141.076,4
spotify:track:1M4Ud66z18wuIq3oOxqVHa,"bad idea!","bad idea!","girl in red",2019-09-03,219638,4,,1970-01-01T00:00:00Z,"bedroom pop","world in red",0.511,0.806,1,-6.093,1,0.0481,0.03,0.0465,0.252,0.41,162.04,4
spotify:track:2e3ZtFtjaPvcBgJy3xpXFT,"Flying Solo (feat. Madison Reyes, Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)","Julie and the Phantoms: Season 1 (From the Netflix Original Series)","Julie and the Phantoms Cast,Madison Reyes,Charlie Gillespie,Owen Patrick Joyner,Jeremy Shada",2020-09-10,184807,58,,1970-01-01T00:00:00Z,"","Columbia",0.556,0.592,0,-5.285,0,0.065,0.00946,0.00000249,0.0683,0.381,165.983,4
spotify:track:3dNjUFt6EFU4Gq6Q5vfJqf,"Girls Like Girls","This Side of Paradise","Hayley Kiyoko",2015-02-03,229655,59,,1970-01-01T00:00:00Z,"","Steel Wool Records",0.61,0.699,6,-5.235,1,0.0248,0.0108,0.00000958,0.0994,0.603,142.03,4
spotify:track:14iN3o8ptQ8cFVZTEmyQRV,"I Kissed A Girl","One Of The Boys","Katy Perry",2008-06-17,179640,78,,1970-01-01T00:00:00Z,"pop","Capitol Records",0.702,0.76,5,-3.174,1,0.0684,0.00226,0,0.132,0.696,129.996,4
spotify:track:4xqrdfXkTW4T0RauPLv3WA,"Heather","Kid Krow","Conan Gray",2020-03-20,198040,87,,1970-01-01T00:00:00Z,"","Republic Records",0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,3
spotify:track:30XU4suKzCeoCK9YFzdufg,"Born This Way","Born This Way (International Special Edition Version)","Lady Gaga",2011-05-23,260252,79,,1970-01-01T00:00:00Z,"art pop,pop","Interscope",0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.493,123.907,4
spotify:track:1kqc6U8hVYZhY0gFGQclCz,"girls","girls","girl in red",2018-06-08,198400,1,,1970-01-01T00:00:00Z,"bedroom pop","world in red",0.515,0.449,5,-14.468,1,0.0337,0.227,0.0357,0.171,0.792,149.966,4
spotify:track:5FXn5JHL50tDPMITGun9zh,"Girls In Bikinis","Am I A Girl?","Poppy",2018-10-31,145272,61,,1970-01-01T00:00:00Z,"","Mad Decent",0.886,0.893,6,-2.713,0,0.0612,0.116,0.0737,0.145,0.814,116.01,4
spotify:track:6AejjYRSi4L2p01COyXLjd,"Everyone Is Gay","Is There Anybody Out There?","A Great Big World",2014-01-20,130066,39,,1970-01-01T00:00:00Z,"","Epic",0.528,0.814,9,-6.134,1,0.0645,0.0354,0,0.0631,0.432,149.183,4
