DATAFLOW,LAST UPDATE,freq,c_birth,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Albania,2022,2793592,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Austria,2013,8451860,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Austria,2022,8978929,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Belgium,2013,11137974,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Belgium,2022,11617623,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Bulgaria,2013,7202556,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Bulgaria,2022,6482484,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Switzerland,2013,8039060,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Switzerland,2022,8738791,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Cyprus,2013,865878,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Cyprus,2022,904705,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Czechia,2013,10516125,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Czechia,2022,10516707,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Germany,2013,80523746,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Germany,2022,83237124,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Denmark,2013,5602628,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Denmark,2022,5873420,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Estonia,2013,1320174,,
